一[一]	 	說文: 惟初太始道立於一造分天地化成萬物凡一之屬皆從一Etym: Primitive pictograph 一. From a single line. Meaning one.
佗[佗]	 	說文: 儋也從人它聲臣鉉等案史記匈奴奇畜有橐佗今俗譌誤謂之駱駞非是Phon: 它㐌 ta1 tuo2 yi2 
佘[佘]	 	Etym: Primitive pictograph 佘. From possible inverted mouth 亼  and 屮. Meaning extra.*Phon: 佘 she2  (productive phonetic)
余[余]	 	說文: 二余也讀與余同Phon: 余 yu2 tu2 xu2 yu4  (productive phonetic)
佛[佛]	 	說文: 見不審也從人弗聲Etym: From person 亻人 and phonetic 弗. Meaning Buddha.Phon: 弗 fu2 fei4 
作[作]	 	說文: 起也從人從乍Etym: From person 亻人 and phonetic 乍. Meaning to make.Phon: 乍 zha4 zuo4 
佝[佝]	 	說文: 務也從人句聲Phon: 勾句 gou1 ju4 gou3 gou4 qu2 丩jiu1 
佞[佞]	 	說文: 巧讇高材也從女信省臣鉉等曰女子之信近於佞也
你[你]	 	Etym: From person 亻人 and phonetic 尔爾. Meaning you.Phon: 你 ni3 尔爾尒 er3 mi3 
佥[僉]	 	說文: 皆也從亼從吅從從虞書曰僉曰伯夷Etym: Cursive remnant 佥僉. From an inverted mouth 亼 from above and two mouths 只 talking, all together.Phon: 僉 qian1 xian1  (productive phonetic)Simplify: (super cursive simplification 佥僉)
佩[佩]	 	說文: 大帶佩也從人從凡從巾佩必有巾巾謂之飾臣鉉等曰今俗別作珮非是Etym: From person 亻人 and something hanging 凡巾. Meaning to hang on or accompany.
佰[佰]	 	說文: 相什伯也從人百Phon: 百 bai3 白 bai2 
佳[佳]	 	說文: 善也從人圭聲Etym: From person 亻人 (a lucky person) and phonetic 圭. Meaning auspicious.Phon: 圭 gui1 
佻[佻]	 	說文: 愉也從人兆聲詩曰視民不佻Phon: 兆 zhao4 tao2 tiao1 
佾[佾]	 	說文: 舞行列也從人**聲Phon: 䏌 yi4 
使[使]	 	說文: 伶也從人吏聲Etym: From person 亻人 and phonetic 吏. Borrowed for sound. Meaning to use. 　Phon: 吏 li4 shi4 史 shi3 
侃[侃]	 	說文: 剛直也從****古文信從川取其不舍晝夜論語曰子路侃侃如也
侄[侄]	 	Etym: From person 亻人 and phonetic 至. Meaning nephew.
侈[侈]	 	說文: 掩脅也從人多聲一曰奢也Etym: From person 亻人 and (meaning too much) 多. Meaning extraigant.
例[例]	 	說文: 比也從人列聲Etym: From person 亻人 and phonetic 列. Meaning regulation.Phon: 列 lie4 
侍[侍]	 	說文: 承也從人寺聲Etym: From person 亻人 and phonetic 寺. Meaning to serve.Phon: 寺 si4 之止 zhi1 zhi4 
供[供]	 	說文: 設也從人共聲一曰供給Etym: From person 亻人 (who gives you something) and phonetic 共. Meaning to supply.Phon: 共 gong4 gong3 hong3 廾 gong3 
依[依]	 	說文: 倚也從人衣聲Etym: From person 亻人 and phonetic 衣. Meaning to rely on.Phon: 衣 yi1 yi4 
侠[俠]	 	說文: 俜也從人夾聲Etym: From person 亻人 and phonetic 夹. Meaning chivalrous.Phon: 夾 jia2 jia4 xie2 xia2 Simplify: (亻) left of (s夹夾)
侣[侶]	 	說文: 徒侶也從人呂聲Etym: From person 亻人 and phonetic 吕. Meaning companion.Phon: 呂吕 lü3 
侥[僥]	 	說文: 南方有焦僥人長三尺短之極從人堯聲Etym: From person 亻人 who is lucky and phonetic 尧堯. Meaning lucky.Phon: 堯 yao2 垚 yao2 Simplify: (亻) left of (s尧堯)
侦[偵]	 	說文: 問也從人貞聲Etym: From person 亻人 and phonetic 贞*. Meaning detective.Phon: 貞 zhen1 Simplify: (亻) left of (B008贝貝)
侧[側]	 	說文: 旁也從人則聲Etym: From person 亻人 perhaps a hunch back and phonetic 则*. Meaning slanted.Phon: 則 ze2 ce4 Simplify: (亻) left of (B008贝貝) left of (刂)
侨[僑]	 	說文: 高也從人喬聲Etym: From person 亻人 who may live somewhere and phonetic 乔*. Meaning to lodgePhon: 喬 qiao2 jiao1 jiao3 高 gao1 Simplify: (亻) left of (s乔喬)
侩[儈]	 	說文: 合市也從人會會亦聲Phon: 會 hui3 hui4 kuai4 gui4 Simplify: (亻) left of (s会會)
侮[侮]	 	說文: 傷也從人每聲Etym: From person 亻人 who insults and phonetic 每. Meaning discrace.Phon: 每 mei3 wu3 母 mu3 
侯[侯]	 	說文: 春饗所射侯也從人從厂象張布矢在其下天子射熊虎豹服猛也諸侯射熊豕虎大夫射麋麋惑也士射鹿豕為田除害也其祝曰母若不寧侯不朝于王所故伉而射汝也Etym: Primitive pictograph 侯. Modification of arrow 矢. Meaning marquis.Phon: 侯矦 hou2  (productive phonetic)
侵[侵]	 	說文: 漸進也從人又持帚若埽之進又手也Etym: From person 亻人 and phonetic 㑴又持帚. Meaning to invade.Phon: (侵-亻 D842 DF36) qin1 qin3 
便[便]	 	說文: 安也人有不便更之從人更Etym: From person 亻人 (who helps you) and phonetic 更. Meaning convenience.Phon: 便 pian2 bian4  (productive phonetic)
促[促]	 	說文: 迫也從人足聲Etym: From person 亻人 who may be in a hurry and phonetic (also meaning to walk) 足. Meaning to urge.Phon: 足 zu2 ju4 
俄[俄]	 	說文: 行頃也從人我聲詩曰仄弁之俄Etym: From person 亻人 and phonetic 我. Meaning Russian.Phon: 我 wo3 
俊[俊]	 	說文: 材千人也從人夋聲Etym: From person 亻人 and phonetic 夋. Meaning talented.Phon: 夋 qun1 jun4 suo1 允 yun3 jun4 
俎[俎]	 	說文: 禮俎也從半肉在且上Phon: 且 qie2 ju1 cu2 
俏[俏]	 	Etym: From person 亻人 and phonetic 肖. Meaning pretty.Phon: 肖 xiao4 小 xiao3 
俐[俐]	 	Etym: From person 亻人 and phonetic 利. Meaning clever.Phon: 利 li4 
俑[俑]	 	說文: 痛也從人甬聲Phon: 甬 yong3 dong4 用 yong4 
俗[俗]	 	說文: 習也從人谷聲Etym: From person 亻人 and phonetic 谷. Meaning social customs.Phon: 谷 gu3 yu4 
俘[俘]	 	說文: 軍所獲也從人孚聲春秋傳曰以為俘聝Etym: From person 亻人 and phonetic 孚. Meaning prisoner of war.Phon: 孚 fu2 
俚[俚]	 	說文: 聊也從人里聲Phon: 里 li3 
保[保]	 	說文: 養也從人從**省**古文孚Etym: Primitive pictograph 保𠈃𠊻.  A woman 亻人 with a baby 呆𤓽孚 in her hand 爪. Meaning to protect.Phon: 保 bao3 呆 bao3 dai1  (productive phonetic)
俞[俞]	 	說文: 空中木為舟也從亼從舟從巜巜水也Etym: Compound pictograph 俞. From a mouth 亼 and a boat 月舟 on water 刂水. Original meaning to lead. Meaning concent.Phon: 俞兪 yu2 yu4 shu1 shu4  (productive phonetic)
俟[俟]	 	說文: 大也從人矣聲詩曰伾伾俟俟Phon: 矣 yi3 厶 yi3 
信[信]	 	說文: 誠也從人從言會意Etym: From person 亻人 and phonetic 言. Meaning to trust.
俦[儔]	 	說文: 翳也從人壽聲Phon: 壽 shou4 Simplify: (亻) left of (s寿壽)
俨[儼]	 	說文: 昂頭也從人嚴聲一曰好皃Phon: 嚴 yan2 敢 gan3 Simplify: (亻) left of (s严嚴)
俩[倆]	 	Etym: From person 亻人 and phonetic (also indicating two) 两. Meaning two.Phon: 兩 liang3 Simplify: (亻) left of (s两兩)
俪[儷]	 	說文: 棽儷也從人麗聲Phon: 麗 li4 si1 Simplify: (亻) left of (s丽麗)
俭[儉]	 	說文: 約也從人僉聲Etym: From person 亻人 and phonetic 佥僉. Meaning frugal.Phon: 僉 qian1 xian1 Simplify: (亻) left of (s佥僉)
修[修]	 	說文: 飾也從彡攸聲Etym: From lines 彡 indicating writing and phonetic (also meaning to test) 攸. Meaning to study.Phon: 攸 you1 
俯[俯]	 	Etym: From person 亻人 and phonetic 府. Meaning to bow down.Phon: 府 fu3 付 fu4 
俱[俱]	 	說文: 偕也從人具聲Etym: From person 亻人 (who works together) and phonetic 具. Mening all together.Phon: 具 ju4 
俳[俳]	 	說文: 戲也從人非聲Phon: 非 fei1 fei3 
俺[俺]	 	說文: 大也從人奄聲Etym: From person 亻人 and phonetic 奄. Meaning a personal pronoun.Phon: 奄 yan3 yan1 
俾[俾]	 	說文: 益也從人卑聲一曰俾門侍人Phon: 卑 bei1 
倌[倌]	 	說文: 小臣也從人從官詩曰命彼倌人Phon: 官 guan1 
倍[倍]	 	說文: 反也從人咅聲Etym: From person 亻人 and phonetic 咅. Meaning times.Phon: 倍 bei4 咅否 pou3 fou3 pi3 不 bu4  (productive phonetic)
倏[倏]	 	說文: 走也從犬攸聲讀若叔Phon: 攸 you1 
倒[倒]	 	說文: 仆也從人到聲Etym: From person 亻人 thant can fall and phonetic 到. Meaning to fall over.Phon: 到 dao4 刀 dao1 
倔[倔]	 	Etym: From person 亻人 and phonetic 屈. Meaning stubborn.Phon: 屈 qu1 jue2 ju2 出 chu1 
倘[倘]	 	Etym: From person 亻人 and phonetic 尚. Borrowed for sound. Meaning if.Phon: 尚 shang4 chang2 dang4 
候[候]	 	說文: 伺望也從人矦聲Etym: Cursive remnant 候侯矦. From man (later addition) 亻人 and 矦 [ From augmented 厂 (target) shot by an arrow 矢]. Meaning to wait for, to visit.Phon: 侯矦 hou2 
倚[倚]	 	說文: 依也從人奇聲Etym: From person 亻人 who might be relied on and phonetic 奇. Meaning to rely on.Phon: 奇 ji1 qi2 可 ke3 ke4 
借[借]	 	說文: 假也從人昔聲Phon: 昔 xi2 cuo4 
倡[倡]	 	說文: 樂也從人昌聲Etym: From person 亻人 and phonetic 昌. Meaning leader.Phon: 昌 chang1 chang4 
倦[倦]	 	說文: 罷也從人卷聲Etym: From person 亻人 who may get tired and phonetic 卷. Meaning to be tired of.Phon: 卷 juan4  juan4 
倨[倨]	 	說文: 不遜也從人居聲Phon: 居 ju1 
倩[倩]	 	說文: 人字從人青聲東齊**謂之倩Phon: 青靑 qing1 井 jing3 
倪[倪]	 	說文: 俾也從人兒聲Phon: 兒 er ni2 
倭[倭]	 	說文: 順皃從人委聲詩曰周道倭遟Phon: 委 wei3 
债[債]	 	說文: 債負也從人責責亦聲Etym: From person 亻人 and phonetic 责*. Meaning debt of a person.Phon: 責 ze2 zhai4 朿 ci4 Simplify: (B008贝貝) left of (责)
值[值]	 	說文: 措也從人直聲Etym: From person 亻人 and phonetic 直. Originally meaning duty. As in on duty.Phon: 直 zhi2 
倾[傾]	 	說文: 仄也從人從頃頃亦聲Etym: From person 亻人 and phonetic 顷. Meaning upset.Phon: 頃 qing3 Simplify: (亻) left of (匕) left of (s页頁)
偃[偃]	 	說文: 僵也從人匽聲Phon: 匽 yan4 yan3 妟 yan4 
假[假]	 	說文: 非真也從人叚聲一曰至也虞書曰假于上下Etym: From person 亻人 who can lie and phonetic (also meaning false) 叚. Meaning falsehood.Phon: 叚 jia3 
偎[偎]	 	Etym: From person 亻人 and phonetic 畏. Meaning cuddle.Phon: 畏 wei4 wei3 
偏[偏]	 	說文: 頗也從人扁聲Etym: From person 亻人 and phonetic 扁. Meaning one sided.Phon: 扁 bian3 
偕[偕]	 	說文: 彊也從人皆聲詩曰偕偕士子一曰俱也Phon: 皆 jie1 
做[做]	 	Etym: From person 亻人 and phonetic 故. Meaning work.Phon: 故 gu4 古 gu3 gu4 ku1 
停[停]	 	說文: 止也從人亭聲Etym: From person 亻人 who can stop or go and phonetic 亭. Meaning to delay.Phon: 亭 ting2 丁 ding1 
健[健]	 	說文: 伉也從人建聲Etym: From person 亻人 and phonetic 建. Meaning strong.Phon: 建 jian4 廴 yin3 yin4 
偶[偶]	 	說文: 桐人也從人禺聲Etym: From person 亻人 and phonetic 禺. Meaning an idol.Phon: 禺 yu4 yu2 ou3 
偷[偷]	 	Etym: From person 亻人 and phonetic 俞. Meaning a thief.Phon: 俞兪 yu2 yu4 shu1 shu4 
偿[償]	 	說文: 還也從人賞聲Etym: From person 亻人 with a debt and phonetic 尝*. Meaning to repay.Phon: 賞 shang3 尚 shang4 chang2 dang4 Simplify: (亻) left of (super cursive simplification 尝賞))
傀[傀]	 	說文: 偉也從人鬼聲周禮曰大傀異Etym: From person 亻人 and phonetic (ghost) 鬼. Meaning gigantic.Phon: 鬼 gui3 
傅[傅]	 	說文: 相也從人尃聲Etym: From person 亻人 (a teacher) and to turn over 尃. Meaning a teacher.Phon: 尃 fu1 bu4 甫 fu3 pu3 父 fu3 fu4 
傍[傍]	 	說文: 近也從人旁聲Etym: From person 亻人 and phonetic 旁. Meaning by the side of.Phon: 旁 pang2 bang4 方 fang1 fang3 pang2 
傧[儐]	 	說文: 導也從人賓聲Phon: 賓 bin1 Simplify: (亻) left of (s宾賓)
储[儲]	 	說文: 偫也從人諸聲Etym: From person 亻人 and phonetic 诸. Meaning heir.Phon: 諸 zhu1 者 zhe3 zhu1 zhu4 Simplify: (亻) left of (s讠言) left of (者)
催[催]	 	說文: 相儔也從人崔聲詩曰室人交徧催我Etym: From person 亻人 who can be pressured and phonetic 崔. Meaning to urge.Phon: 崔 cui1 隹 zhui1 cui1 wei2 
傲[傲]	 	說文: 倨也從人敖聲Etym: From person 亻人 and phonetic 敖. Meaning proud.Phon: 敖 ao2 ao4 
傻[傻]	 	Etym: Special substitution 傻俊. From  talented 俊 but with a bad brain 囟 not a good mouth 厶. Meaning foolish.  (see 俊)
像[像]	 	說文: 象也從人從象象亦聲讀若養Etym: From person 亻人 or picture of a person and phonetic 象. Meaning a picture.Phon: 象 xiang4 
僖[僖]	 	說文: 樂也從人喜聲Phon: 喜 xi3 
僚[僚]	 	說文: 好皃從人尞聲Etym: From person 亻人 and phonetic 尞. Meaning friend.Phon: 尞 liao4 liao2 
僧[僧]	 	說文: 浮屠道人也從人曾聲Etym: From person 亻人 and phonetic 曾. Meaning Buddhist priest.Phon: 曾 zeng1 ceng2 
僭[僭]	 	說文: 假也從人朁聲Phon: 朁 can3 qian2 jian4 兂 zan3 
僮[僮]	 	說文: 未冠也從人童聲Phon: 童 tong2 zhong1 重 chong2 zhong4 tong2 dong4 
僵[僵]	 	說文: 僨也從人畺聲Etym: From person 亻人 and phonetic 畺. Meaning stiff and motionless.Phon: 畺 jiang1 
僻[僻]	 	說文: 避也從人辟聲詩曰宛如左僻一曰從旁牽也Etym: From person 亻人 and phonetic 辟. Meaning unorthodox.Phon: 辟 bi4 pi4 
儒[儒]	 	說文: 柔也術士之偁從人需聲Etym: From person 亻人 and phonetic 需. Meaning a Confucian scholar.Phon: 需 xu1 nuo4 ru2 ruan3 雨 yu4 yu3 
儡[儡]	 	說文: 相敗也從人畾聲讀若雷Etym: From person 亻人 and phonetic 3 田. Meaning puppet.Phon: 畾 lei2 
儿[儿]	 	說文: 仁人也古文奇字人也象形孔子曰在人下故詰屈凡儿之屬皆從儿
兀[兀]	 	說文: 高而上平也從一在人上讀若敻茂陵有兀桑里Etym: Augmented pictograph 兀. From a mans feet 儿 and flat 一 on top. Original meaning flat.
允[允]	 	說文: 信也從儿**聲Etym: Primitive pictograph 允. Mouth (that allows) 厶 on a man 儿. Meaning to allow.Phon: 允 yun3 jun4  (productive phonetic)
元[元]	 	說文: 始也從一從兀徐鎧曰元者善之長也故從一Etym: Primitive pictograph 元. That which is above 上 or before a man 儿. Meaning first.Phon: 元 yuan2 wan2  (productive phonetic)
兄[兄]	 	說文: 長也從儿從口凡兄之屬皆從兄Etym: From mouth 口 and person 儿. Meaning older brother.Phon: 兄 xiong1 kuang4  (productive phonetic)
